epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.224,1.42655,3.74704,0.0028,0.72747,0.74732,0.81392,0.5332,1.18758,1.05106,0.00391,0.000255621,0.000255621,0.000255621
2,289.167,1.31454,1.80308,0.00252,0.81748,0.81993,0.88232,0.59743,1.14522,0.79904,0.00389,0.000501818,0.000501818,0.000501818
3,430.37,1.28089,1.16712,0.00246,0.82666,0.85213,0.89838,0.61383,1.12082,0.7092,0.0036,0.000737864,0.000737864,0.000737864
4,551.681,1.26903,0.90354,0.00249,0.86448,0.86333,0.91947,0.62641,1.13161,0.65605,0.00379,0.000723321,0.000723321,0.000723321
5,695.95,1.24747,0.75168,0.00245,0.90831,0.89607,0.9425,0.64165,1.12568,0.60272,0.00375,0.000708095,0.000708095,0.000708095
6,819.536,1.23691,0.6527,0.00245,0.91594,0.90833,0.9399,0.64516,1.12829,0.53974,0.00391,0.000692869,0.000692869,0.000692869
7,942.359,1.22577,0.61147,0.00243,0.92949,0.91254,0.94667,0.64514,1.12024,0.51802,0.00368,0.000677643,0.000677643,0.000677643
8,1095.99,1.20452,0.56774,0.00243,0.89906,0.92786,0.94943,0.65298,1.10688,0.49844,0.0038,0.000662417,0.000662417,0.000662417
9,1184.24,1.20483,0.54317,0.0024,0.92636,0.92528,0.94552,0.61606,1.18755,0.50088,0.0039,0.00064719,0.00064719,0.00064719
10,1261.67,1.18616,0.51291,0.00227,0.94239,0.93228,0.96124,0.66913,1.0826,0.44285,0.00354,0.000631964,0.000631964,0.000631964
11,1363.74,1.17591,0.49674,0.00234,0.94468,0.94101,0.95939,0.66853,1.05402,0.4081,0.00334,0.000616738,0.000616738,0.000616738
12,1449.64,1.17297,0.48596,0.00228,0.95148,0.9374,0.96098,0.66515,1.08057,0.41136,0.00361,0.000601512,0.000601512,0.000601512
