epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0125,1.4779,4.85089,0.00308,0.67598,0.30997,0.39499,0.2488,1.2492,2.10876,0.00411,0.000254197,0.000254197,0.000254197
2,109.317,1.39702,2.80615,0.00255,0.67966,0.71305,0.77241,0.48361,1.22208,1.10704,0.00387,0.000500422,0.000500422,0.000500422
3,154.326,1.34836,2.09424,0.00271,0.75123,0.75104,0.82953,0.55118,1.14777,0.94217,0.00381,0.000736496,0.000736496,0.000736496
4,205.074,1.33262,1.74049,0.00279,0.78508,0.81141,0.8578,0.56341,1.18068,0.86201,0.00382,0.000723321,0.000723321,0.000723321
5,254.682,1.28893,1.42043,0.00258,0.81382,0.82349,0.89097,0.59019,1.16899,0.81519,0.00377,0.000708095,0.000708095,0.000708095
6,303.178,1.29882,1.22983,0.00251,0.82743,0.82402,0.88714,0.59095,1.18538,0.76097,0.00391,0.000692869,0.000692869,0.000692869
7,349.213,1.26707,1.03955,0.00242,0.83324,0.86623,0.90705,0.62187,1.12091,0.66463,0.00381,0.000677643,0.000677643,0.000677643
8,399.712,1.27629,0.95703,0.00244,0.87617,0.84425,0.91693,0.6218,1.14615,0.69731,0.00385,0.000662417,0.000662417,0.000662417
9,450.117,1.25702,0.84862,0.00253,0.86965,0.87529,0.91743,0.6285,1.12433,0.63292,0.00381,0.00064719,0.00064719,0.00064719
10,481.578,1.2642,0.80608,0.00252,0.88715,0.87217,0.92656,0.62943,1.10383,0.62119,0.00352,0.000631964,0.000631964,0.000631964
11,513.378,1.25413,0.7376,0.00245,0.87219,0.89706,0.93526,0.64363,1.08431,0.5999,0.00346,0.000616738,0.000616738,0.000616738
12,559.857,1.28105,0.72673,0.00259,0.90334,0.88247,0.9351,0.62395,1.15129,0.57405,0.00375,0.000601512,0.000601512,0.000601512
13,598.252,1.23558,0.65067,0.00238,0.89476,0.90914,0.9329,0.63489,1.12595,0.551,0.00393,0.000586286,0.000586286,0.000586286
14,650.62,1.21626,0.65328,0.00249,0.88466,0.89603,0.93716,0.63996,1.09481,0.5752,0.00364,0.000571059,0.000571059,0.000571059
15,701.131,1.22759,0.65562,0.00242,0.90057,0.88812,0.94365,0.65115,1.12438,0.52682,0.00398,0.000555833,0.000555833,0.000555833
