epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.8658,1.30999,0.93972,0.99409,0.18933,0.000220275,0.000220275,0.000220275
2,85.1336,0.16679,0.96927,1,0.08868,0.000433844,0.000433844,0.000433844
3,116.989,0.10591,0.94208,0.99941,0.16275,0.00063861,0.00063861,0.00063861
4,166.846,0.08423,0.97754,0.99941,0.06357,0.00062738,0.00062738,0.00062738
5,209.984,0.06496,0.97754,0.99823,0.09871,0.000614174,0.000614174,0.000614174
6,252.128,0.06532,0.98227,1,0.04812,0.000600967,0.000600967,0.000600967
7,298.443,0.05327,0.98463,1,0.04852,0.00058776,0.00058776,0.00058776
8,349.216,0.04981,0.97045,0.99941,0.0883,0.000574554,0.000574554,0.000574554
9,404.088,0.04217,0.98582,1,0.06282,0.000561347,0.000561347,0.000561347
10,449.728,0.0413,0.9734,0.99941,0.12062,0.000548141,0.000548141,0.000548141
11,504.783,0.04213,0.98522,1,0.07775,0.000534934,0.000534934,0.000534934
12,556.144,0.03778,0.98168,1,0.07209,0.000521727,0.000521727,0.000521727
13,611.812,0.03524,0.98109,1,0.0648,0.000508521,0.000508521,0.000508521
14,644.098,0.0328,0.97872,0.99941,0.12298,0.000495314,0.000495314,0.000495314
15,676.511,0.03275,0.98582,1,0.04822,0.000482108,0.000482108,0.000482108
16,708.334,0.02925,0.97931,0.99941,0.087,0.000468901,0.000468901,0.000468901
17,740.53,0.03092,0.98286,1,0.07118,0.000455694,0.000455694,0.000455694
18,782.2,0.02989,0.987,1,0.03201,0.000442488,0.000442488,0.000442488
19,818.756,0.02441,0.98463,1,0.09084,0.000429281,0.000429281,0.000429281
20,870.608,0.02522,0.98759,1,0.05304,0.000416075,0.000416075,0.000416075
21,925.453,0.02666,0.98582,1,0.04752,0.000402868,0.000402868,0.000402868
22,979.578,0.02589,0.98641,1,0.06329,0.000389661,0.000389661,0.000389661
23,1017.2,0.02382,0.98759,1,0.07045,0.000376455,0.000376455,0.000376455
24,1050.8,0.01933,0.98936,1,0.0655,0.000363248,0.000363248,0.000363248
25,1082.86,0.02021,0.987,1,0.05125,0.000350042,0.000350042,0.000350042
26,1115.03,0.02102,0.98877,1,0.08241,0.000336835,0.000336835,0.000336835
27,1162.51,0.01879,0.98818,1,0.07782,0.000323628,0.000323628,0.000323628
28,1216.8,0.01812,0.98641,1,0.05853,0.000310422,0.000310422,0.000310422
29,1270.74,0.01634,0.98818,1,0.07533,0.000297215,0.000297215,0.000297215
30,1319.81,0.01547,0.98759,0.99941,0.0718,0.000284009,0.000284009,0.000284009
31,1352.3,0.01608,0.98818,1,0.07778,0.000270802,0.000270802,0.000270802
32,1384.8,0.01458,0.98818,1,0.06663,0.000257595,0.000257595,0.000257595
33,1416.67,0.01571,0.98818,1,0.05313,0.000244389,0.000244389,0.000244389
34,1467.08,0.01527,0.98818,1,0.03883,0.000231182,0.000231182,0.000231182
35,1520.15,0.01254,0.98995,1,0.0432,0.000217976,0.000217976,0.000217976
36,1552.89,0.01409,0.99054,1,0.03224,0.000204769,0.000204769,0.000204769
37,1584.6,0.01436,0.98877,1,0.07086,0.000191562,0.000191562,0.000191562
38,1616.33,0.01338,0.99054,1,0.06172,0.000178356,0.000178356,0.000178356
39,1648.2,0.01,0.98936,1,0.0696,0.000165149,0.000165149,0.000165149
40,1680.25,0.00891,0.98877,1,0.08201,0.000151943,0.000151943,0.000151943
41,1712.65,0.01004,0.98995,1,0.07388,0.000138736,0.000138736,0.000138736
42,1744.81,0.00989,0.98818,1,0.05928,0.000125529,0.000125529,0.000125529
43,1784,0.00787,0.99054,1,0.0599,0.000112323,0.000112323,0.000112323
44,1833.13,0.00744,0.98995,1,0.0576,9.91162e-05,9.91162e-05,9.91162e-05
45,1865.64,0.00617,0.99291,1,0.04837,8.59096e-05,8.59096e-05,8.59096e-05
46,1897.52,0.00624,0.99113,1,0.06252,7.2703e-05,7.2703e-05,7.2703e-05
47,1929.43,0.00809,0.99054,1,0.06119,5.94964e-05,5.94964e-05,5.94964e-05
48,1971.54,0.00745,0.98995,1,0.06127,4.62898e-05,4.62898e-05,4.62898e-05
49,2025.77,0.00652,0.98936,1,0.06813,3.30832e-05,3.30832e-05,3.30832e-05
50,2062.71,0.00519,0.98936,1,0.07046,1.98766e-05,1.98766e-05,1.98766e-05
