epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.729,1.4321,3.89754,0.00274,0.6677,0.72491,0.76983,0.49465,1.21495,1.0773,0.00356,0.000255504,0.000255504,0.000255504
2,256.322,1.33929,1.94058,0.00258,0.83101,0.83475,0.89563,0.59482,1.23519,0.77484,0.00368,0.000501703,0.000501703,0.000501703
3,327.922,1.31017,1.29411,0.00252,0.80923,0.83414,0.89328,0.5917,1.2385,0.74581,0.00369,0.000737751,0.000737751,0.000737751
4,401.5,1.28435,0.99347,0.00252,0.84454,0.8629,0.90444,0.61626,1.17537,0.71948,0.00357,0.000723321,0.000723321,0.000723321
5,474.75,1.25004,0.80703,0.00246,0.84926,0.89211,0.92519,0.63232,1.15989,0.64739,0.00354,0.000708095,0.000708095,0.000708095
6,586.055,1.24255,0.70775,0.00244,0.89985,0.89432,0.94105,0.63402,1.17509,0.56909,0.00364,0.000692869,0.000692869,0.000692869
7,656.639,1.21543,0.64904,0.00244,0.91208,0.90456,0.9447,0.64623,1.14862,0.5376,0.00356,0.000677643,0.000677643,0.000677643
8,729.075,1.2062,0.5844,0.00231,0.93268,0.9156,0.95424,0.6531,1.16612,0.49437,0.00378,0.000662417,0.000662417,0.000662417
9,803.152,1.20184,0.5435,0.0024,0.93313,0.92247,0.95596,0.65515,1.12995,0.47506,0.00342,0.00064719,0.00064719,0.00064719
10,877.764,1.18705,0.52603,0.00228,0.93066,0.9166,0.95707,0.65504,1.1344,0.47968,0.00362,0.000631964,0.000631964,0.000631964
11,959.115,1.17746,0.52922,0.00231,0.94478,0.93117,0.9576,0.6571,1.13432,0.45566,0.00365,0.000616738,0.000616738,0.000616738
12,1041.89,1.17772,0.51516,0.00241,0.95091,0.92933,0.95541,0.66725,1.12825,0.43875,0.00345,0.000601512,0.000601512,0.000601512
13,1117.88,1.15791,0.49074,0.00237,0.94021,0.94274,0.96039,0.66273,1.12227,0.42025,0.00368,0.000586286,0.000586286,0.000586286
14,1237.08,1.14831,0.47402,0.00222,0.94993,0.93888,0.95701,0.66959,1.10018,0.40528,0.00357,0.000571059,0.000571059,0.000571059
15,1355.79,1.14615,0.47029,0.00217,0.95014,0.93915,0.95871,0.66776,1.10448,0.42114,0.00347,0.000555833,0.000555833,0.000555833
16,1426.28,1.12083,0.4552,0.00216,0.9425,0.94465,0.96332,0.67246,1.08614,0.40991,0.00341,0.000540607,0.000540607,0.000540607
